frames-enduro;1135893;Bike 'n Service;Specialized Enduro S-Works Rahmenset Large;25.06.2018 16:07;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1135893-specialized-enduro-s-works-rahmenset-large;2.999,00 €
cranksets;1136460;Kurbelkraft;SRAM Kurbel Eagle X01 boost NEU;24.06.2018 19:51;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136460-sram-kurbel-eagle-x01-boost-neu;325,00 €
frames-enduro;1136317;Hoevenaars;Canyon Spectral AL;24.06.2018 16:10;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136317-canyon-spectral-al?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;400,00 €
frames-enduro;1136656;Smourock17;Specialized Enduro 29, S-Works, L, 2014;25.06.2018 12:48;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136656-specialized-enduro-29-s-works-l-2014;899,00 €
frames-enduro;1123952;www.komking.de;Santa Cruz Nomad AL Rahmen 27,5" - medium - 170mm - Modell 2018;23.05.2018 19:16;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1123952-santa-cruz-nomad-al-rahmen-27-5-medium-170mm-modell-2018?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;1.899,00 €
wheels;1136709;poison :);DT Swiss E1700 Spline Two, 30mm Inner Width, XD Driver Body, Boost 15x110/12x148;25.06.2018 15:00;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136709-dt-swiss-e1700-spline-two-30mm-inner-width-xd-driver-body-boost-15x110-12x148;450,00 €
frames-enduro;1134958;www.komking.de;Santa Cruz Bronson CC Rahmen 27,5"- 150mm - Modell 2018 - Angebot;20.06.2018 15:03;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1134958-santa-cruz-bronson-cc-rahmen-27-5-150mm-modell-2018-angebot?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;1.999,00 €
frames-enduro;1136779;konaronne;Liteville 301 mk 11 Größe L;25.06.2018 18:41;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136779-liteville-301-mk-11-grosse-l;1.099,00 €
frames-enduro;1126071;www.komking.de;Santa Cruz Nomad V4 Carbon CC Rahmen 170mm - Modell 2018 ab Lager;29.05.2018 14:14;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1126071-santa-cruz-nomad-v4-carbon-cc-rahmen-170mm-modell-2018-ab-lager?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;3.599,00 €
frames-enduro;1136652;www.komking.de;Santa Cruz Hightower CC Rahmen 29" - 135mm - Modell 2018 - Angebot;25.06.2018 12:27;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136652-santa-cruz-hightower-cc-rahmen-29-135mm-modell-2018-angebot;2.099,00 €
frames-enduro;1136725;extremepunisher;YT Industries Capra CF mit Monarch Plus RT3 in M;25.06.2018 15:48;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136725-yt-industries-capra-cf-mit-monarch-plus-rt3-in-m;985,00 €
wheels;1136744;Herr Baurat;Syntace W40 MX 27,5" VR;25.06.2018 17:27;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136744-syntace-w40-mx-27-5-vr;250,00 €
wheels;1136615;Flyingwheel85;Sixpack King Kong Kamikaze [110x20/142x12];25.06.2018 10:37;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136615-sixpack-king-kong-kamikaze-110x20-142x12;199,00 €
frames-enduro;1104402;www.komking.de;Santa Cruz Hightower LT Carbon CC Rahmen 29" 150mm - S/M/L/XL -Modell 2018 - AB LAGER;07.04.2018 16:12;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1104402-santa-cruz-hightower-lt-carbon-cc-rahmen-29-150mm-s-m-l-xl-modell-2018-ab-lager?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;2.899,00 €
frames-downhill;1135932;lowpeda;Intense M16C Pro Build;23.06.2018 12:51;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1135932-intense-m16c-pro-build;1.950,00 €
wheels;1111242;ReviCycles;Hope Pro 4 / ZTR Crest MK3 / Arch MK3 / Flow MK3 Laufradsatz, 27,5" / 29" SONDERANGEBOT;23.04.2018 15:43;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1111242-hope-pro-4-ztr-crest-mk3-arch-mk3-flow-mk3-laufradsatz-27-5-29-sonderangebot?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;499,00 €
frames-downhill;1134731;Don-Schlumpfo;Cube Two15 SL Rahmen 2018 inkl. Steuersatz!;24.06.2018 19:06;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1134731-cube-two15-sl-rahmen-2018-inkl-steuersatz;849,00 €
wheels;1136619;cube87;Sun Ringle 142x12  20x110;25.06.2018 10:44;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136619-sun-ringle-142x12-20x110;99,00 €
frames-downhill;1136061;David5500;Canyon Torque FRX Größe S;23.06.2018 20:14;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136061-canyon-torque-frx-grosse-s;380,00 €
frames-downhill;1136099;Speedsnake;Mondraker Summum 2017 L Rahmen;23.06.2018 21:08;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136099-mondraker-summum-2017-l-rahmen;950,00 €
frames-downhill;1079506;Velo Love Innsbruck;Saracen Myst Team Carbon Rahmen inkl. Fast Suspension Dämpfer 2018 "L";20.06.2018 12:12;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1079506-saracen-myst-team-carbon-rahmen-inkl-fast-suspension-dampfer-2018-l?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;3.399,00 €
wheels;1136474;Biker-Ede;Spank EVO 28 ENDURO 27,5 Blau;24.06.2018 20:11;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136474-spank-evo-28-enduro-27-5-blau;250,00 €
wheels;1133512;www.komking.de;Enve M60 Forty MTB 27,5''Clincher DT Swiss 240S thru-axle 15x110/12x148 Boost - UVP 3298€;16.06.2018 16:02;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1133512-enve-m60-forty-mtb-27-5-clincher-dt-swiss-240s-thru-axle-15x110-12x148-boost-uvp-3298eur?utm_source=top&utm_medium=feature&utm_campaign=bikemarkt;1.699,00 €
frames-enduro;1136711;Ghostrider7.5k;Ghost AMR+, AMR plus 7500, XL, inkl. Dämpfer, Tretlager und Steuersatz;25.06.2018 15:14;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136711-ghost-amr-amr-plus-7500-xl-inkl-dampfer-tretlager-und-steuersatz;200,00 €
frames-downhill;1136262;mountainlove.de;Transition Bikes TR500 Rahmenkit Größe M inkl. Rock Shox Vivid R2C Coil Rear Shock;24.06.2018 14:14;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136262-transition-bikes-tr500-rahmenkit-grosse-m-inkl-rock-shox-vivid-r2c-coil-rear-shock;1.899,00 €
wheels;1136533;das_chucky;DT Swiss CSW MA 3.9 29" CL Laufradsatz;24.06.2018 22:15;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136533-dt-swiss-csw-ma-3-9-29-cl-laufradsatz;320,00 €
frames-downhill;1135993;thelastone;Trek Session 88 / 9.9 Heckrahmen 650b;23.06.2018 15:07;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1135993-trek-session-88-9-9-heckrahmen-650b;390,00 €
wheels;1136590;=.cf.= marduk;SRAM ROAM 60 Carbon 27.5 (650b);25.06.2018 15:37;https://bikemarkt.mtb-news.dehttps://bikemarkt.mtb-news.de/article/1136590-sram-roam-60-carbon-27-5-650b;600,00 €
